,Organisation,Country,ISO Code,Vehicle_Name,Launch_date,Launch_Month,Launch_Year,Rocket_Status,Price,Mission_Status,Decade
969,Arianespace,France,FRA,Ariane 5 ECA ,12-02-2005,Feb,2005,StatusActive,200,Success,2000
970,Lockheed,USA,USA,Atlas IIIB ,03-02-2005,Feb,2005,StatusRetired,35,Success,2000
971,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,20-01-2005,Jan,2005,StatusRetired,41.8,Success,2000
972,Boeing,USA,USA,Delta II 7925 ,12-01-2005,Jan,2005,StatusRetired,164,Success,2000
973,VKS RF,Russia,RUS,Tsyklon-3 ,24-12-2004,Dec,2004,StatusRetired,41.8,Partial Failure,2000
974,Boeing,USA,USA,Delta IV Heavy ,21-12-2004,Dec,2004,StatusActive,350,Partial Failure,2000
975,Arianespace,France,FRA,Ariane 5 G+ ,18-12-2004,Dec,2004,StatusRetired,190,Success,2000
976,ILS,USA,USA,Atlas V 521 ,17-12-2004,Dec,2004,StatusActive,135,Success,2000
977,Boeing,USA,USA,Delta II 7320-10C ,20-11-2004,Nov,2004,StatusRetired,164,Success,2000
978,CASC,China,CHN,Long March 2C ,18-11-2004,Nov,2004,StatusActive,30.8,Success,2000
979,VKS RF,Russia,RUS,Soyuz 2.1a ,08-11-2004,Nov,2004,StatusActive,48.5,Success,2000
980,Boeing,USA,USA,Delta II 7925 ,06-11-2004,Nov,2004,StatusRetired,164,Success,2000
981,CASC,China,CHN,Long March 4B ,06-11-2004,Nov,2004,StatusActive,64.68,Success,2000
982,CASC,China,CHN,Long March 3A ,19-10-2004,Oct,2004,StatusActive,69.7,Success,2000
983,CASC,China,CHN,Long March 2D ,27-09-2004,Sep,2004,StatusActive,29.75,Success,2000
984,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,23-09-2004,Sep,2004,StatusRetired,41.8,Success,2000
985,ISRO,India,IND,GSLV Mk I ,20-09-2004,Sep,2004,StatusRetired,47,Success,2000
986,CASC,China,CHN,Long March 4B ,08-09-2004,Sep,2004,StatusActive,64.68,Success,2000
987,IAI,Israel,ISR,Shavit-1 ,06-09-2004,Sep,2004,StatusRetired,62,Failure,2000
988,Lockheed,USA,USA,Atlas IIAS ,31-08-2004,Aug,2004,StatusRetired,35,Success,2000
989,CASC,China,CHN,Long March 2C ,29-08-2004,Aug,2004,StatusActive,30.8,Success,2000
990,Boeing,USA,USA,Delta II 7925H ,03-08-2004,Aug,2004,StatusRetired,164,Success,2000
991,CASC,China,CHN,Long March 2C ,25-07-2004,Jul,2004,StatusActive,30.8,Success,2000
992,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,22-07-2004,Jul,2004,StatusRetired,41.8,Success,2000
993,Arianespace,France,FRA,Ariane 5 G+ ,18-07-2004,Jul,2004,StatusRetired,190,Success,2000
994,Boeing,USA,USA,Delta II 7920-10L ,15-07-2004,Jul,2004,StatusRetired,164,Success,2000
995,Kosmotras,Kazakhstan,KAZ,Dnepr ,29-06-2004,Jun,2004,StatusRetired,29,Success,2000
996,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,29-06-2004,Jun,2004,StatusActive,62,Success,2000
997,Boeing,USA,USA,Delta II 7925 ,23-06-2004,Jun,2004,StatusRetired,164,Success,2000
998,VKS RF,Kazakhstan,KAZ,Zenit-2 ,10-06-2004,Jun,2004,StatusRetired,41.8,Success,2000
999,VKS RF,Kazakhstan,KAZ,Tsyklon-2 ,28-05-2004,May,2004,StatusRetired,41.8,Success,2000
1000,Northrop,USA,USA,Minotaur C (Taurus) ,20-05-2004,May,2004,StatusActive,45,Success,2000
1001,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,04-05-2004,May,2004,StatusActive,62,Success,2000
1002,Boeing,USA,USA,Delta II 7920-10C ,20-04-2004,Apr,2004,StatusRetired,164,Success,2000
1003,ILS,USA,USA,Atlas IIAS ,19-04-2004,Apr,2004,StatusRetired,122.5,Success,2000
1004,CASC,China,CHN,Long March 2C ,18-04-2004,Apr,2004,StatusActive,30.8,Success,2000
1005,ILS,USA,USA,Atlas IIAS ,16-04-2004,Apr,2004,StatusRetired,122.5,Success,2000
1006,Boeing,USA,USA,Delta II 7925 ,20-03-2004,Mar,2004,StatusRetired,164,Success,2000
1007,ILS,USA,USA,Atlas IIIA ,13-03-2004,Mar,2004,StatusRetired,122.5,Success,2000
1008,Arianespace,France,FRA,Ariane 5 G+ ,02-03-2004,Mar,2004,StatusRetired,190,Success,2000
1009,VKS RF,Russia,RUS,Molniya-M /Block ML ,18-02-2004,Feb,2004,StatusRetired,41.8,Success,2000
1010,Lockheed,USA,USA,Titan IV(402)B ,14-02-2004,Feb,2004,StatusRetired,35,Success,2000
1011,ILS,USA,USA,Atlas IIAS ,05-02-2004,Feb,2004,StatusRetired,122.5,Success,2000
1012,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,11-01-2004,Jan,2004,StatusActive,62,Success,2000
1013,CASC,China,CHN,Long March 2C ,29-12-2003,Dec,2003,StatusActive,30.8,Success,2000
1014,Boeing,USA,USA,Delta II 7925 ,21-12-2003,Dec,2003,StatusRetired,164,Success,2000
1015,Lockheed,USA,USA,Atlas IIIB ,10-12-2003,Dec,2003,StatusRetired,35,Success,2000
1016,VKS RF,Kazakhstan,KAZ,Strela ,05-12-2003,Dec,2003,StatusRetired,41.8,Success,2000
1017,Lockheed,USA,USA,Atlas IIAS ,02-12-2003,Dec,2003,StatusRetired,35,Success,2000
1018,MHI,Japan,JPN,H-IIA 2024 ,29-11-2003,Nov,2003,StatusRetired,90,Failure,2000
1019,CASC,China,CHN,Long March 3A ,14-11-2003,Nov,2003,StatusActive,69.7,Success,2000
1020,CASC,China,CHN,Long March 2D ,03-11-2003,Nov,2003,StatusActive,29.75,Success,2000
1021,Eurockot,Russia,RUS,Rokot/Briz KM ,30-10-2003,Oct,2003,StatusRetired,41.8,Success,2000
1022,CASC,China,CHN,Long March 4B ,21-10-2003,Oct,2003,StatusActive,64.68,Success,2000
1023,Lockheed,USA,USA,Titan II(23)G ,18-10-2003,Oct,2003,StatusRetired,35,Success,2000
1024,ISRO,India,IND,PSLV-G ,17-10-2003,Oct,2003,StatusRetired,25,Success,2000
1025,CASC,China,CHN,Long March 2F ,15-10-2003,Oct,2003,StatusActive,64.68,Success,2000
1026,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,01-10-2003,Oct,2003,StatusActive,62,Success,2000
1027,Arianespace,France,FRA,Ariane 5 G ,27-09-2003,Sep,2003,StatusRetired,200,Success,2000
1028,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,27-09-2003,Sep,2003,StatusRetired,41.8,Success,2000
1029,CASIC,China,CHN,Kaituozhe 1 ,16-09-2003,Sep,2003,StatusRetired,62,Failure,2000
1030,Lockheed,USA,USA,Titan IV(401)B ,09-09-2003,Sep,2003,StatusRetired,35,Success,2000
1031,Boeing,USA,USA,Delta IV Medium ,29-08-2003,Aug,2003,StatusRetired,133,Success,2000
1032,AEB,Brazil,BRA,VLS-1 ,25-08-2003,Aug,2003,StatusActive,62,Prelaunch Failure,2000
1033,Boeing,USA,USA,Delta II 7920H ,25-08-2003,Aug,2003,StatusRetired,164,Success,2000
1034,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,19-08-2003,Aug,2003,StatusRetired,41.8,Success,2000
1035,Northrop,USA,USA,Pegasus XL ,13-08-2003,Aug,2003,StatusActive,40,Success,2000
1036,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,08-08-2003,Aug,2003,StatusActive,62,Success,2000
1037,ILS,USA,USA,Atlas V 521 ,17-07-2003,Jul,2003,StatusActive,135,Success,2000
1038,Boeing,USA,USA,Delta II 7925H ,08-07-2003,Jul,2003,StatusRetired,164,Success,2000
1039,Eurockot,Russia,RUS,Rokot/Briz KM ,30-06-2003,Jun,2003,StatusRetired,41.8,Success,2000
1040,Northrop,USA,USA,Pegasus XL ,26-06-2003,Jun,2003,StatusActive,40,Success,2000
1041,VKS RF,Russia,RUS,Molniya-M /Block ML ,19-06-2003,Jun,2003,StatusRetired,41.8,Success,2000
1042,Arianespace,France,FRA,Ariane 5 G ,11-06-2003,Jun,2003,StatusRetired,200,Success,2000
1043,Boeing,USA,USA,Delta II 7925 ,10-06-2003,Jun,2003,StatusRetired,164,Success,2000
1044,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,10-06-2003,Jun,2003,StatusActive,62,Success,2000
1045,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,04-06-2003,Jun,2003,StatusRetired,41.8,Success,2000
1046,Starsem,Kazakhstan,KAZ,Soyuz FG/Fregat ,02-06-2003,Jun,2003,StatusRetired,62,Success,2000
1047,CASC,China,CHN,Long March 3A ,24-05-2003,May,2003,StatusActive,69.7,Success,2000
1048,ILS,USA,USA,Atlas V 401 ,13-05-2003,May,2003,StatusActive,109,Success,2000
1049,ISAS,Japan,JPN,Mu-V / M-25 ,09-05-2003,May,2003,StatusRetired,62,Success,2000
1050,ISRO,India,IND,GSLV Mk I ,08-05-2003,May,2003,StatusRetired,47,Success,2000
1051,Northrop,USA,USA,Pegasus XL ,28-04-2003,Apr,2003,StatusActive,40,Success,2000
1052,ILS,USA,USA,Atlas IIIB ,12-04-2003,Apr,2003,StatusRetired,122.5,Success,2000
1053,Arianespace,France,FRA,Ariane 5 G ,09-04-2003,Apr,2003,StatusRetired,200,Success,2000
1054,Lockheed,USA,USA,Titan IV(401)B ,08-04-2003,Apr,2003,StatusRetired,35,Success,2000
1055,VKS RF,Russia,RUS,Molniya-M /Block ML ,02-04-2003,Apr,2003,StatusRetired,41.8,Success,2000
1056,Boeing,USA,USA,Delta II 7925 ,31-03-2003,Mar,2003,StatusRetired,164,Success,2000
1057,MHI,Japan,JPN,H-IIA 2024 ,28-03-2003,Mar,2003,StatusRetired,90,Success,2000
1058,Boeing,USA,USA,Delta IV Medium ,11-03-2003,Mar,2003,StatusRetired,133,Success,2000
1059,Arianespace,France,FRA,Ariane 44L ,15-02-2003,Feb,2003,StatusRetired,200,Success,2000
1060,Boeing,USA,USA,Delta II 7925 ,29-01-2003,Jan,2003,StatusRetired,164,Success,2000
1061,Northrop,USA,USA,Pegasus XL ,25-01-2003,Jan,2003,StatusActive,40,Success,2000
1062,NASA,USA,USA,Space Shuttle Columbia ,16-01-2003,Jan,2003,StatusRetired,450,Failure,2000
1063,Boeing,USA,USA,Delta II 7320-10C ,13-01-2003,Jan,2003,StatusRetired,164,Success,2000
1064,Lockheed,USA,USA,Titan II(23)G ,06-01-2003,Jan,2003,StatusRetired,35,Success,2000
1065,CASC,China,CHN,Long March 2F ,29-12-2002,Dec,2002,StatusActive,64.68,Success,2000
1066,VKS RF,Russia,RUS,Molniya-M /Block 2BL ,24-12-2002,Dec,2002,StatusRetired,41.8,Success,2000
1067,Kosmotras,Kazakhstan,KAZ,Dnepr ,20-12-2002,Dec,2002,StatusRetired,29,Success,2000
1068,Arianespace,France,FRA,Ariane 44L ,17-12-2002,Dec,2002,StatusRetired,200,Success,2000
1069,MHI,Japan,JPN,H-IIA 202 ,14-12-2002,Dec,2002,StatusActive,90,Success,2000
1070,Arianespace,France,FRA,Ariane 5 ECA ,11-12-2002,Dec,2002,StatusActive,200,Failure,2000
1071,Lockheed,USA,USA,Atlas IIA ,05-12-2002,Dec,2002,StatusRetired,35,Success,2000
1072,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,28-11-2002,Nov,2002,StatusRetired,41.8,Success,2000
1073,NASA,USA,USA,Space Shuttle Endeavour ,24-11-2002,Nov,2002,StatusRetired,450,Success,2000
1074,Boeing,USA,USA,"Delta IV Medium+ (4,2) ",20-11-2002,Nov,2002,StatusRetired,164,Success,2000
1075,CASC,China,CHN,Long March 4B ,27-10-2002,Oct,2002,StatusActive,64.68,Success,2000
1076,NASA,USA,USA,Space Shuttle Atlantis ,07-10-2002,Oct,2002,StatusRetired,450,Success,2000
1077,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,26-09-2002,Sep,2002,StatusRetired,41.8,Success,2000
1078,ILS,USA,USA,Atlas IIAS ,18-09-2002,Sep,2002,StatusRetired,122.5,Success,2000
1079,CASIC,China,CHN,Kaituozhe 1 ,15-09-2002,Sep,2002,StatusRetired,62,Failure,2000
1080,ISRO,India,IND,PSLV-G ,12-09-2002,Sep,2002,StatusRetired,25,Success,2000
1081,MHI,Japan,JPN,H-IIA 2024 ,10-09-2002,Sep,2002,StatusRetired,90,Success,2000
1082,Arianespace,France,FRA,Ariane 44L ,06-09-2002,Sep,2002,StatusRetired,200,Success,2000
1083,Arianespace,France,FRA,Ariane 5 G ,28-08-2002,Aug,2002,StatusRetired,200,Success,2000
1084,ILS,USA,USA,Atlas V 401 ,21-08-2002,Aug,2002,StatusActive,109,Success,2000
1085,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,08-07-2002,Jul,2002,StatusRetired,41.8,Success,2000
1086,Arianespace,France,FRA,Ariane 42P ,05-07-2002,Jul,2002,StatusRetired,200,Success,2000
1087,Boeing,USA,USA,Delta II 7425 ,03-07-2002,Jul,2002,StatusRetired,164,Success,2000
1088,Arianespace,France,FRA,Ariane 5 G ,02-07-2002,Jul,2002,StatusRetired,200,Success,2000
1089,Lockheed,USA,USA,Titan II(23)G ,24-06-2002,Jun,2002,StatusRetired,35,Success,2000
1090,Eurockot,Russia,RUS,Rokot/Briz KM ,20-06-2002,Jun,2002,StatusRetired,41.8,Success,2000
1091,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,15-06-2002,Jun,2002,StatusActive,62,Success,2000
1092,NASA,USA,USA,Space Shuttle Endeavour ,05-06-2002,Jun,2002,StatusRetired,450,Success,2000
1093,Arianespace,France,FRA,Ariane 44L ,05-06-2002,Jun,2002,StatusRetired,200,Success,2000
1094,IAI,Israel,ISR,Shavit-1 ,28-05-2002,May,2002,StatusRetired,62,Success,2000
1095,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,28-05-2002,May,2002,StatusRetired,41.8,Success,2000
1096,CASC,China,CHN,Long March 4B ,15-05-2002,May,2002,StatusActive,64.68,Success,2000
1097,Boeing,USA,USA,Delta II 7920-10C ,04-05-2002,May,2002,StatusRetired,164,Success,2000
1098,Arianespace,France,FRA,Ariane 44L ,16-04-2002,Apr,2002,StatusRetired,200,Success,2000
1099,NASA,USA,USA,Space Shuttle Atlantis ,08-04-2002,Apr,2002,StatusRetired,450,Success,2000
1100,VKS RF,Russia,RUS,Molniya-M /Block 2BL ,01-04-2002,Apr,2002,StatusRetired,41.8,Success,2000
1101,Arianespace,France,FRA,Ariane 44L ,29-03-2002,Mar,2002,StatusRetired,200,Success,2000
1102,CASC,China,CHN,Long March 2F ,25-03-2002,Mar,2002,StatusActive,64.68,Success,2000
1103,Eurockot,Russia,RUS,Rokot/Briz KM ,17-03-2002,Mar,2002,StatusRetired,41.8,Success,2000
1104,Lockheed,USA,USA,Atlas IIA ,08-03-2002,Mar,2002,StatusRetired,35,Success,2000
1105,NASA,USA,USA,Space Shuttle Columbia ,01-03-2002,Mar,2002,StatusRetired,450,Success,2000
1106,Arianespace,France,FRA,Ariane 5 G ,01-03-2002,Mar,2002,StatusRetired,200,Success,2000
1107,Arianespace,France,FRA,Ariane 44L ,23-02-2002,Feb,2002,StatusRetired,200,Success,2000
1108,ILS,USA,USA,Atlas IIIB ,21-02-2002,Feb,2002,StatusRetired,122.5,Success,2000
1109,Boeing,USA,USA,Delta II 7920-10C ,11-02-2002,Feb,2002,StatusRetired,164,Success,2000
1110,Northrop,USA,USA,Pegasus XL ,05-02-2002,Feb,2002,StatusActive,40,Success,2000
1111,MHI,Japan,JPN,H-IIA 2024 ,04-02-2002,Feb,2002,StatusRetired,90,Success,2000
1112,Arianespace,France,FRA,Ariane 42L ,23-01-2002,Jan,2002,StatusRetired,200,Success,2000
1113,Lockheed,USA,USA,Titan IV(401)B ,16-01-2002,Jan,2002,StatusRetired,35,Success,2000
1114,VKS RF,Russia,RUS,Tsyklon-3 ,28-12-2001,Dec,2001,StatusRetired,41.8,Success,2000
1115,VKS RF,Kazakhstan,KAZ,Tsyklon-2 ,21-12-2001,Dec,2001,StatusRetired,41.8,Success,2000
1116,VKS RF,Kazakhstan,KAZ,Zenit-2 ,10-12-2001,Dec,2001,StatusRetired,41.8,Success,2000
1117,Boeing,USA,USA,Delta II 7920-10C ,07-12-2001,Dec,2001,StatusRetired,164,Success,2000
1118,NASA,USA,USA,Space Shuttle Endeavour ,05-12-2001,Dec,2001,StatusRetired,450,Success,2000
1119,Arianespace,France,FRA,Ariane 44LP ,27-11-2001,Nov,2001,StatusRetired,200,Success,2000
1120,VKS RF,Russia,RUS,Molniya-M /Block ML ,25-10-2001,Oct,2001,StatusRetired,41.8,Success,2000
1121,ISRO,India,IND,PSLV-G ,22-10-2001,Oct,2001,StatusRetired,25,Success,2000
1122,Boeing,USA,USA,Delta II 7320-10C ,18-10-2001,Oct,2001,StatusRetired,164,Success,2000
1123,Lockheed,USA,USA,Atlas IIAS ,11-10-2001,Oct,2001,StatusRetired,35,Success,2000
1124,Lockheed,USA,USA,Titan IV(404)B ,05-10-2001,Oct,2001,StatusRetired,35,Success,2000
1125,Lockheed,USA,USA,Athena I ,30-09-2001,Sep,2001,StatusRetired,35,Success,2000
1126,Arianespace,France,FRA,Ariane 44P ,25-09-2001,Sep,2001,StatusRetired,200,Success,2000
1127,Northrop,USA,USA,Minotaur C (Taurus) ,21-09-2001,Sep,2001,StatusActive,45,Failure,2000
1128,Lockheed,USA,USA,Atlas IIAS ,09-09-2001,Sep,2001,StatusRetired,35,Success,2000
1129,Arianespace,France,FRA,Ariane 44L ,30-08-2001,Aug,2001,StatusRetired,200,Success,2000
1130,MHI,Japan,JPN,H-IIA 202 ,29-08-2001,Aug,2001,StatusActive,90,Success,2000
1131,NASA,USA,USA,Space Shuttle Discovery ,10-08-2001,Aug,2001,StatusRetired,450,Success,2000
1132,Boeing,USA,USA,Delta II 7326 ,08-08-2001,Aug,2001,StatusRetired,164,Success,2000
1133,Lockheed,USA,USA,Titan IV(402)B ,06-08-2001,Aug,2001,StatusRetired,35,Success,2000
1134,Lockheed,USA,USA,Atlas IIA ,23-07-2001,Jul,2001,StatusRetired,35,Success,2000
1135,VKS RF,Russia,RUS,Molniya-M /Block ML ,20-07-2001,Jul,2001,StatusRetired,41.8,Success,2000
1136,Arianespace,France,FRA,Ariane 5 G ,12-07-2001,Jul,2001,StatusRetired,200,Partial Failure,2000
1137,NASA,USA,USA,Space Shuttle Atlantis ,12-07-2001,Jul,2001,StatusRetired,450,Success,2000
1138,Boeing,USA,USA,Delta II 7425-10C ,30-06-2001,Jun,2001,StatusRetired,164,Success,2000
1139,ILS,USA,USA,Atlas IIAS ,19-06-2001,Jun,2001,StatusRetired,122.5,Success,2000
1140,Arianespace,France,FRA,Ariane 44L ,09-06-2001,Jun,2001,StatusRetired,200,Success,2000
1141,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,08-06-2001,Jun,2001,StatusRetired,41.8,Success,2000
1142,Boeing,USA,USA,Delta II 7925 ,18-05-2001,May,2001,StatusRetired,164,Success,2000
1143,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,08-05-2001,May,2001,StatusActive,62,Success,2000
1144,NASA,USA,USA,Space Shuttle Endeavour ,19-04-2001,Apr,2001,StatusRetired,450,Success,2000
1145,ISRO,India,IND,GSLV Mk I ,18-04-2001,Apr,2001,StatusRetired,47,Partial Failure,2000
1146,Boeing,USA,USA,Delta II 7925 ,07-04-2001,Apr,2001,StatusRetired,164,Success,2000
1147,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,18-03-2001,Mar,2001,StatusActive,62,Success,2000
1148,Arianespace,France,FRA,Ariane 5 G ,08-03-2001,Mar,2001,StatusRetired,200,Success,2000
1149,NASA,USA,USA,Space Shuttle Discovery ,08-03-2001,Mar,2001,StatusRetired,450,Success,2000
1150,Lockheed,USA,USA,Titan IV(401)B ,27-02-2001,Feb,2001,StatusRetired,35,Success,2000
1151,MITT,Russia,RUS,Start-1 ,20-02-2001,Feb,2001,StatusActive,62,Success,2000
1152,NASA,USA,USA,Space Shuttle Atlantis ,07-02-2001,Feb,2001,StatusRetired,450,Success,2000
1153,Arianespace,France,FRA,Ariane 44L ,07-02-2001,Feb,2001,StatusRetired,200,Success,2000
1154,Boeing,USA,USA,Delta II 7925 ,30-01-2001,Jan,2001,StatusRetired,164,Success,2000
1155,Arianespace,France,FRA,Ariane 44P ,10-01-2001,Jan,2001,StatusRetired,200,Success,2000
1156,CASC,China,CHN,Long March 2F ,09-01-2001,Jan,2001,StatusActive,64.68,Success,2000
1157,VKS RF,Russia,RUS,Tsyklon-3 ,27-12-2000,Dec,2000,StatusRetired,41.8,Failure,2000
1158,CASC,China,CHN,Long March 3A ,20-12-2000,Dec,2000,StatusActive,69.7,Success,2000
1159,Arianespace,France,FRA,Ariane 5 G ,20-12-2000,Dec,2000,StatusRetired,200,Success,2000
1160,Lockheed,USA,USA,Atlas IIAS ,06-12-2000,Dec,2000,StatusRetired,35,Success,2000
1161,MITT,Russia,RUS,Start-1 ,05-12-2000,Dec,2000,StatusActive,62,Success,2000
1162,NASA,USA,USA,Space Shuttle Endeavour ,30-11-2000,Nov,2000,StatusRetired,450,Success,2000
1163,Arianespace,France,FRA,Ariane 44L ,21-11-2000,Nov,2000,StatusRetired,200,Success,2000
1164,Boeing,USA,USA,Delta II 7320-10C ,21-11-2000,Nov,2000,StatusRetired,164,Success,2000
1165,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,20-11-2000,Nov,2000,StatusRetired,41.8,Failure,2000
1166,Arianespace,France,FRA,Ariane 5 G ,16-11-2000,Nov,2000,StatusRetired,200,Success,2000
1167,Boeing,USA,USA,Delta II 7925 ,10-11-2000,Nov,2000,StatusRetired,164,Success,2000
1168,CASC,China,CHN,Long March 3A ,30-10-2000,Oct,2000,StatusActive,69.7,Success,2000
1169,Arianespace,France,FRA,Ariane 44LP ,29-10-2000,Oct,2000,StatusRetired,200,Success,2000
1170,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,21-10-2000,Oct,2000,StatusActive,62,Success,2000
1171,Lockheed,USA,USA,Atlas IIA ,20-10-2000,Oct,2000,StatusRetired,35,Success,2000
1172,NASA,USA,USA,Space Shuttle Discovery ,11-10-2000,Oct,2000,StatusRetired,450,Success,2000
1173,Northrop,USA,USA,Pegasus ,09-10-2000,Oct,2000,StatusRetired,40,Success,2000
1174,Arianespace,France,FRA,Ariane 42L ,06-10-2000,Oct,2000,StatusRetired,200,Success,2000
1175,Kosmotras,Kazakhstan,KAZ,Dnepr ,26-09-2000,Sep,2000,StatusRetired,29,Success,2000
1176,VKS RF,Kazakhstan,KAZ,Zenit-2 ,25-09-2000,Sep,2000,StatusRetired,41.8,Success,2000
1177,Lockheed,USA,USA,Titan II(23)G ,21-09-2000,Sep,2000,StatusRetired,35,Success,2000
1178,Arianespace,France,FRA,Ariane 5 G ,14-09-2000,Sep,2000,StatusRetired,200,Success,2000
1179,NASA,USA,USA,Space Shuttle Atlantis ,08-09-2000,Sep,2000,StatusRetired,450,Success,2000
1180,Arianespace,France,FRA,Ariane 44P ,06-09-2000,Sep,2000,StatusRetired,200,Success,2000
1181,Boeing,USA,USA,Delta III 8930 ,23-08-2000,Aug,2000,StatusRetired,164,Success,2000
1182,Lockheed,USA,USA,Titan IV(403)B ,17-08-2000,Aug,2000,StatusRetired,35,Success,2000
1183,Arianespace,France,FRA,Ariane 44LP ,17-08-2000,Aug,2000,StatusRetired,200,Success,2000
1184,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,28-07-2000,Jul,2000,StatusActive,62,Success,2000
1185,Northrop,USA,USA,Minotaur I ,19-07-2000,Jul,2000,StatusActive,40,Success,2000
1186,Boeing,USA,USA,Delta II 7925 ,16-07-2000,Jul,2000,StatusRetired,164,Success,2000
1187,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,15-07-2000,Jul,2000,StatusRetired,41.8,Success,2000
1188,ILS,USA,USA,Atlas IIAS ,14-07-2000,Jul,2000,StatusRetired,122.5,Success,2000
1189,Lockheed,USA,USA,Atlas IIA ,30-06-2000,Jun,2000,StatusRetired,35,Success,2000
1190,VKS RF,Russia,RUS,Cosmos-3M (11K65M) ,28-06-2000,Jun,2000,StatusRetired,41.8,Success,2000
1191,CASC,China,CHN,Long March 3 ,25-06-2000,Jun,2000,StatusRetired,64.68,Success,2000
1192,Northrop,USA,USA,Pegasus XL ,07-06-2000,Jun,2000,StatusActive,40,Success,2000
1193,ILS,USA,USA,Atlas IIIA ,24-05-2000,May,2000,StatusRetired,122.5,Success,2000
1194,NASA,USA,USA,Space Shuttle Atlantis ,19-05-2000,May,2000,StatusRetired,450,Success,2000
1195,Eurockot,Russia,RUS,Rokot/Briz KM ,16-05-2000,May,2000,StatusRetired,41.8,Success,2000
1196,Boeing,USA,USA,Delta II 7925 ,11-05-2000,May,2000,StatusRetired,164,Success,2000
1197,Lockheed,USA,USA,Titan IV(402)B ,08-05-2000,May,2000,StatusRetired,35,Success,2000
1198,Lockheed,USA,USA,Atlas IIA ,03-05-2000,May,2000,StatusRetired,35,Success,2000
1199,Arianespace,France,FRA,Ariane 42L ,19-04-2000,Apr,2000,StatusRetired,200,Success,2000
1200,Boeing,USA,USA,Delta II 7326 ,25-03-2000,Mar,2000,StatusRetired,164,Success,2000
1201,Arianespace,France,FRA,Ariane 5 G ,21-03-2000,Mar,2000,StatusRetired,200,Success,2000
1202,Sea Launch,Pacific Ocean,#N/A,Zenit-3 SL ,12-03-2000,Mar,2000,StatusActive,62,Failure,2000
1203,Northrop,USA,USA,Minotaur C (Taurus) ,12-03-2000,Mar,2000,StatusActive,45,Success,2000
1204,VKS RF,Kazakhstan,KAZ,Zenit-2 ,02-03-2000,Mar,2000,StatusRetired,41.8,Success,2000
1205,Arianespace,France,FRA,Ariane 44LP ,18-02-2000,Feb,2000,StatusRetired,200,Success,2000
1206,NASA,USA,USA,Space Shuttle Endeavour ,11-02-2000,Feb,2000,StatusRetired,450,Success,2000
1207,ISAS,Japan,JPN,Mu-V / M-24 ,10-02-2000,Feb,2000,StatusRetired,62,Failure,2000
1208,Boeing,USA,USA,Delta II 7920-10C ,08-02-2000,Feb,2000,StatusRetired,164,Success,2000
1209,ILS,USA,USA,Atlas IIAS ,03-02-2000,Feb,2000,StatusRetired,122.5,Success,2000
1210,Northrop,USA,USA,Minotaur I ,27-01-2000,Jan,2000,StatusActive,40,Success,2000
1211,CASC,China,CHN,Long March 3A ,25-01-2000,Jan,2000,StatusActive,69.7,Success,2000
1212,Arianespace,France,FRA,Ariane 42L ,25-01-2000,Jan,2000,StatusRetired,200,Success,2000
1213,Lockheed,USA,USA,Atlas IIA ,21-01-2000,Jan,2000,StatusRetired,35,Success,2000
1214,Northrop,USA,USA,Minotaur C (Taurus) ,31-12-1999,Dec,1999,StatusActive,45,Success,1990
1215,VKS RF,Russia,RUS,Molniya-M /Block 2BL ,27-12-1999,Dec,1999,StatusRetired,41.8,Success,1990
1216,VKS RF,Kazakhstan,KAZ,Tsyklon-2 ,26-12-1999,Dec,1999,StatusRetired,41.8,Success,1990
1217,Arianespace,France,FRA,Ariane 44L ,22-12-1999,Dec,1999,StatusRetired,200,Success,1990
1218,NASA,USA,USA,Space Shuttle Discovery ,20-12-1999,Dec,1999,StatusRetired,450,Success,1990
1219,Lockheed,USA,USA,Atlas IIAS ,18-12-1999,Dec,1999,StatusRetired,35,Success,1990
1220,Lockheed,USA,USA,Titan II(23)G ,12-12-1999,Dec,1999,StatusRetired,35,Success,1990
